
Country Name En,Continent Name En,FAO major fishing area Name En,Ocean Name En,Unit Name,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Albania,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,141,,154,,185,,176,,137,,154,,124,,173,,170,,165,,113,,47,,109,,82,,82,,82,,47,,135,,137,,105,,24,,85,,90,,93,,59,,75,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Africa,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,8,,15,,16,,39,,20,,23,,12,,30,,11,,6,,44,,20,,25,,8,,10,,38,,5,,6,,28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,129.931,,168.682,,159,,106,,135,,257,,331,,313,,192,,166,,149,,141,,146,,,,,,,,,,,,,,,,,,,,,,435,,293,,180,,193,,187,,231,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Americas,"Atlantic, Western Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,18.098,,14.44,,1.8,,98.879,,8.884,,8.272,,45,,35.719,,37,,28.734,,29,,24,,57,,63,,7,,73,,84,,45,,66,,86,,57,,99,,39,,87,,33,,36,,33,,28,,21,,54,,46,,40,E,44,,36,,51,,24,,51,,30,,82,,75,,,,44,,26,,21,,16,,38,,20,,51,,0,N,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Europe,"Atlantic, Northeast",Atlantic Ocean and adjacent seas,Tonnes - live weight,1004.117,,119.528,,157.539,,102.477,,76.868,,114.272,,93.057,,58.823,,96,,131,,70,,37,,38,,3,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,833.479,,593.65,,1039.921,,381.582,,367.723,,396.064,,357.857,,376.317,,1794,,1498,,1574,,1584,,1153,,1223,,1389,,1576,,1569,,1166,,1284,,2128,,1406,,1643,,1493,,439,,439,,706,,1146,,873,,1161,,1196,,1250,,1400,,1163,,643,,659,,806,,647,,699,,823,,1064,,1061,,1044,,925,,1001,,1163,,1329,,1605,,957,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,2345.55,,3234.9,,3104,,2719,,2741,,3316,,1646,,1835,,1705,,1301,,1426,,1487,,1580,,1554,,2146,,2211,,2496,,3062,,2695,,2263,,2058,,2193,,1910,,1673,,2952,,2919,,2856,,2886,,2456,,3563,,2296,,1356,,834,,830,,631,,624,,459,,294,,368,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,Africa,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,15,E,11.234,,50,E,78.655,,50,E,50,E,50,E,50,E,50,E,249,,7,,42,,154,,130,E,110,E,90,E,70,E,50,E,85,,0,N,3,,0,N,1,E,1,E,1,E,1,,34,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Europe,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,210.706,,61.225,,201.8,,273,,279,,114,,219,,0,,0,,326,,766,,727,,1387,,1305,,1277,,1612,,1534,,1350,,1499,,784,,1388,,1373,,1845,,933,,612,,244,,213,,1345,,1345,,1620,,1850,,998,,2050,,1560,,1722,,544,,47,,1030,,239,,58,,252,,536,,10,,283,,457,,0,,0,,2567,,1033,,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,3601.273,,3061.99,,3812.8,,3480,,2393,,2256,,2461,,2387,,2787,,3010,,4023,,3336,,3454,,3018,,3895,,4117,,3897,,5473,,6615,,7373,,8648,,7800,,6999,,9478,,8907,,9057,,9757,,9661,,11565,,10300,,10508,,10163,,9145,,10354,,10184,,10996,,9419,,9140,,9329,,8925,,9033,,8868,,8313,,8974,,8718,,9390,,9202,,8289,,8148,,9439,,7864,,8122,,8100,,8400,,8500,,10100,,8000,,7900,,4700,,4900,,6300,,6400,,7400,,8300,,5600,,5400,,5600,,4800,,3700,,3700,,3600,,3600,
Lebanon,Asia,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,0,,0,,0,,2,,4,,3,,6,,17,,18,E,19,E,20,E,21,E,22,E,23,E,24,E,24,,25,,25,,25,,25,,25,,25,,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
