Período de referência dos dados;Porto de descarga;Espécie;land_tot_ton;thousands_euros_tot
2022;PT: Portugal;Total;121069;335542
2022;PT: Portugal;Polvos;7908;62497
2021;PT: Portugal;Total;140562;335044
2021;PT: Portugal;Polvos;7208;54903
2020;PT: Portugal;Total;110454;262233
2020;PT: Portugal;Polvos;5227;31755
2019;PT: Portugal;Total;137669;295341
2019;PT: Portugal;Polvos;5903;36722
2018;PT: Portugal;Total;128438;291715
2018;PT: Portugal;Polvos;6774;47931
2017;PT: Portugal;Total;118395;272360
2017;PT: Portugal;Polvos;5864;38386
2016;PT: Portugal;Total;124264;269499
2016;PT: Portugal;Polvos;10574;48225
2015;PT: Portugal;Total;140831;260984
2015;PT: Portugal;Polvos;7692;35934
2014;PT: Portugal;Total;119890;250501
2014;PT: Portugal;Polvos;10676;44292
2013;PT: Portugal;Total;144654;253148
2013;PT: Portugal;Polvos;12934;37609
2012;PT: Portugal;Total;151343;281307
2012;PT: Portugal;Polvos;9665;38691
2011;PT: Portugal;Total;164236;285880
2011;PT: Portugal;Polvos;7272;36213
2010;PT: Portugal;Total;166304;271972
2010;PT: Portugal;Polvos;10680;38473
2009;PT: Portugal;Total;144792;254831
2009;PT: Portugal;Polvos;7947;28092
2008;PT: Portugal;Total;170050;295129
2008;PT: Portugal;Polvos;13394;55374
2007;PT: Portugal;Total;160834;275295
2007;PT: Portugal;Polvos;8520;35487
2006;PT: Portugal;Total;141683;244300
2006;PT: Portugal;Polvos;7084;28873
2005;PT: Portugal;Total;145656;255000
2005;PT: Portugal;Polvos;10837;40629
2004;PT: Portugal;Total;152532;259522
2004;PT: Portugal;Polvos;8227;38809
2003;PT: Portugal;Total;151576;271592
2003;PT: Portugal;Polvos;9716;48919
2002;PT: Portugal;Total;148246;267042
2002;PT: Portugal;Polvos;8174;38963
2001;PT: Portugal;Total;146094;255291
2001;PT: Portugal;Polvos;;
2000;PT: Portugal;Total;152188;251568
2000;PT: Portugal;Polvos;;
1999;PT: Portugal;Total;170446;256589
1999;PT: Portugal;Polvos;;
1998;PT: Portugal;Total;189553;254018
1998;PT: Portugal;Polvos;;
1997;PT: Portugal;Total;185036;241911
1997;PT: Portugal;Polvos;;
1996;PT: Portugal;Total;203112;248500
1996;PT: Portugal;Polvos;;
1995;PT: Portugal;Total;212132;245447
1995;PT: Portugal;Polvos;;
1994;PT: Portugal;Total;245956;292112
1994;PT: Portugal;Polvos;;
1993;PT: Portugal;Total;269461;301224
1993;PT: Portugal;Polvos;;
1992;PT: Portugal;Total;277820;330111
1992;PT: Portugal;Polvos;;
1991;PT: Portugal;Total;305431;394940
1991;PT: Portugal;Polvos;;
1990;PT: Portugal;Total;309929;365907
1990;PT: Portugal;Polvos;;
1989;PT: Portugal;Total;304827;335457
1989;PT: Portugal;Polvos;;
1988;PT: Portugal;Total;313804;289583
1988;PT: Portugal;Polvos;;
1987;PT: Portugal;Total;312695;249550
1987;PT: Portugal;Polvos;;
1986;PT: Portugal;Total;331968;232729
1986;PT: Portugal;Polvos;;
1985;PT: Portugal;Total;273681;159318
1985;PT: Portugal;Polvos;;
1984;PT: Portugal;Total;243423;131637
1984;PT: Portugal;Polvos;;
1983;PT: Portugal;Total;223486;103348
1983;PT: Portugal;Polvos;;
1982;PT: Portugal;Total;239544;83693
1983;PT: Portugal;Polvos;;
1981;PT: Portugal;Total;264398;83059
1981;PT: Portugal;Polvos;;
1980;PT: Portugal;Total;271508;71991
1980;PT: Portugal;Polvos;;
1979;PT: Portugal;Total;245187;56661
1979;PT: Portugal;Polvos;;
1978;PT: Portugal;Total;259919;48237
1978;PT: Portugal;Polvos;;
1977;PT: Portugal;Total;290865;39361
1977;PT: Portugal;Polvos;;
1976;PT: Portugal;Total;286568;32119
1976;PT: Portugal;Polvos;;
1975;PT: Portugal;Total;285432;21306
1975;PT: Portugal;Polvos;;
1974;PT: Portugal;Total;297298;19712
1974;PT: Portugal;Polvos;;
1973;PT: Portugal;Total;375413;16710
1973;PT: Portugal;Polvos;;
1972;PT: Portugal;Total;342717;14132
1972;PT: Portugal;Polvos;;
1971;PT: Portugal;Total;342475;13731
1971;PT: Portugal;Polvos;;
1970;PT: Portugal;Total;365423;11100
1970;PT: Portugal;Polvos;;
1969;PT: Portugal;Total;333695;10589
1969;PT: Portugal;Polvos;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Data da última atualização;31-May-2023;;;
